register,folio_sort_key,folio_label,zone_temp_id,action,target_zone_temp_id,value,note
JJ139,111,131,28604,changer_classe,,AC,"La copie est incomplète, mais zone blanche sur la page d’après montre l’absence de lacune. Fonctionne comme AC"
JJ147,123,56r,34275,suit_zone,34270,,
JJ149,156,73v,35498,exclure_zone,,,NIA interrompt une suite AI...AF
JJ150,65,25r,35943,suit_zone,35917,,
JJ150,145,65r,36087,changer_classe,,AC,"Fin d’acte, début non identifié, se comporte comme AC"
JJ150,250,117v,36283,changer_classe,,AC,"Début d’acte, suite manquante par erreur de numérisation. A traiter comme AC pour la succession des images"
JJ150,251,118r,36284,exclure_zone,,,A MODIFIER SUR ARCA ET ZONES ! Image label 118r est en réalité image du 122r. Image de 118r = http://himanis.huma-num.fr/app/corpora/chancery/FRAN_0021_20950_A.jpg et http://himanis.huma-num.fr/app/corpora/chancery/FRAN_0021_20952_A.jpg
JJ150,252,118v,36285,exclure_zone,,,A MODIFIER SUR ARCA ET ZONES ! Image label 118v est en réalité image du 122v. Image de 118v = http://himanis.huma-num.fr/app/corpora/chancery/FRAN_0021_20953_A.jpg
JJ154,580,277r,39873,changer_classe,,AC,"Fin d’acte, début non identifié, se comporte comme AC"
JJ155,40,12v,40432,exclure_zone,,,NIA interrompt une suite AI...AF
JJ155,42,13v,40434,changer_classe,,AI,"AM, dont AI en NIA. A traiter comme AI"
JJ160,136,59v,44842,exclure_zone,,,NIA interrompt une suite AI...AF
JJ160,450,215v,45293,exclure_zone,,,NIA interrompt une suite AI...AF
JJ161,244,114v,45918,exclure_zone,,,NIA interrompt une suite AI...AF
JJ161,258,121v,45937,exclure_zone,,,NIA interrompt une suite AI...AF
JJ161,426,205v,46184,exclure_zone,,,NIA interrompt une suite AI...AF
JJ161,428,206v,46186,changer_classe,,AI,"AM, dont AI en NIA. A traiter comme AI"
JJ161,448,216v,46216,exclure_zone,,,NIA interrompt une suite AI...AF
JJ161,450,217v,46218,changer_classe,,AI,"AM, dont AI en NIA. A traiter comme AI"
JJ161,480,232v,46256,exclure_zone,,,NIA interrompt une suite AI...AF // Apparemment sans changer succession des actes
JJ161,580,282v,46387,exclure_zone,,,NIA interrompt une suite AI...AF
JJ161,582,283v,46389,changer_classe,,AC,AF dont AI en NIA. A traiter comme AC.
JJ166,251,117r,50139,changer_classe,,AC,"Fin d’acte, début non identifié, se comporte comme AC"
JJ168,169,77r,51866,changer_classe,,AC,"Début d’acte, fin en NIA. "
JJ168,170,77v,51867,exclure_zone,,,NIA interrompt une suite AI...AF
JJ168,172,78v,51869,changer_classe,,AC,"Fin d’acte, début en NIA."
JJ168,200,92v,51914,changer_classe,,AC,"Début d’acte, cancelé, « alibi registrata », se comporte comme AC"
JJ169,512,247v,53264,changer_classe,,AI,"AM, dont AI en NIA. A traiter comme AI"
JJ170,84,37v,53688,exclure_zone,,,NIA interrompt une suite AI...AF
JJ170,86,38v,53690,changer_classe,,AI,"AM, dont AI en NIA. A traiter comme AI"
JJ170,206,98v,53852,exclure_zone,,,NIA interrompt une suite AI...AF
JJ170,208,99v,53854,changer_classe,,AI,"AM, dont AI en NIA. A traiter comme AI"
JJ172,174,82v,55681,changer_classe,,AC,Début d’acte (cancelé?). A traiter comme AC
JJ172,422,206v,56127,exclure_zone,,,NIA interrompt une suite AI...AF
JJ172,207v,424,56129,changer_classe,,AC,AF dont AI en NIA. A traiter comme AC.
JJ175,107v,222,59269,changer_classe,,AM,Erreur d’annotation (fin apparente car lettre insérée)
JJ176,2,contreplat supérieur,59384,exclure_zone,,,Erreur d’annotation (page blanche)
JJ176,36v,74,59487,changer_classe,,AC,"Début d’acte, fin non identifiée. A traiter comme AC"
JJ176,76,37v,59489,changer_classe,,AC,"Début d’acte inachevé, à traiter comme AC."
JJ176,55v,112,59558,changer_classe,,AC,"Début d’acte, fin non identifiée. A traiter comme AC"
JJ176,409v,819,60656,changer_classe,,AC,"Début d’acte, fin non identifiée. A traiter comme AC"
JJ177,2,plat supérieur,60892,exclure_zone,,,Erreur d’annotation (page blanche)
JJ177,343,plat inférieur,61455,exclure_zone,,,Erreur d’annotation (page blanche)
JJ178,308,contreplat inférieur,61986,exclure_zone,,,NIA interrompt une suite AI...AF
JJ179,14,1r,61996,changer_classe,,AC,"Fin d’acte, début non identifié, se comporte comme AC"
JJ197,160,72r,73715,suit_zone,73713,,"JJ197, f. 72r, bas de l’image avec fin de l’acte commencé en f. 71v, interrompu par AC"
JJ200,93,46r,76952,suit_zone,76950,,"JJ200, f. 46r, bas de l’image avec fin de l’acte commencé en 45v, interrompu par AC"
JJ205,544,265v-266r,79211,suit_zone,79212,,"JJ205, numérisation à double page"
JJ205,545,266v-267r,79215,suit_zone,79216,,"JJ205, numérisation à double page"
JJ205,546,267v-268r,79217,suit_zone,79219,,"JJ205, numérisation à double page"
JJ205,546,267v-268r,79218,suit_zone,79215,,"JJ205, numérisation à double page"
JJ205,548,269v-270r,79223,suit_zone,79225,,"JJ205, numérisation à double page"
JJ205,548,269v-270r,79224,suit_zone,79222,,"JJ205, numérisation à double page"
JJ205,549,270v-271r,79227,suit_zone,79228,,"JJ205, numérisation à double page"
JJ205,550,271v-272r,79229,suit_zone,79231,,"JJ205, numérisation à double page"
JJ205,550,271v-272r,79230,suit_zone,79227,,"JJ205, numérisation à double page"
JJ205,551,272v-273r,79232,suit_zone,79233,,"JJ205, numérisation à double page"
JJ205,552,273v-274r,79234,suit_zone,79236,,"JJ205, numérisation à double page"
JJ205,553,274v-275r,79237,suit_zone,79239,,"JJ205, numérisation à double page"
JJ205,553,274v-275r,79238,suit_zone,79234,,"JJ205, numérisation à double page"
JJ205,553,274v-275r,79240,suit_zone,79237,,"JJ205, numérisation à double page"
JJ205,554,275v-276r,79241,suit_zone,79242,,"JJ205, numérisation à double page"
JJ205,555,276v-277r,79243,suit_zone,79245,,"JJ205, numérisation à double page"
JJ205,555,276v-277r,79244,suit_zone,79241,,"JJ205, numérisation à double page"
JJ205,556,277v-278r,79246,suit_zone,79247,,"JJ205, numérisation à double page"
JJ205,557,278v-279r,79249,suit_zone,79250,,"JJ205, numérisation à double page"
JJ205,559,280v-281r,79255,suit_zone,79253,,"JJ205, numérisation à double page"
JJ205,560,281v-282r,79257,suit_zone,79258,,"JJ205, numérisation à double page"
JJ205,560,281v-282r,79261,suit_zone,79262,,"JJ205, numérisation à double page"
JJ205,565,286v-287r,79271,suit_zone,79273,,"JJ205, numérisation à double page"
JJ205,566,287v-288r,79274,suit_zone,79276,,"JJ205, numérisation à double page"
JJ205,566,287v-288r,79275,suit_zone,79271,,"JJ205, numérisation à double page"
JJ205,566,287v-288r,79277,suit_zone,79274,,"JJ205, numérisation à double page"
JJ205,566,287v-288r,79284,suit_zone,79285,,"JJ205, numérisation à double page"
JJ205,566,287v-288r,79285,suit_zone,79283,,"JJ205, numérisation à double page"
JJ205,566,287v-288r,79286,suit_zone,79284,,"JJ205, numérisation à double page"
JJ205,572,293v-294r,79293,suit_zone,79295,,"JJ205, numérisation à double page"
JJ205,573,294v-295r,79296,suit_zone,79298,,"JJ205, numérisation à double page"
